state,district,dvotes,rvotes,uncontested
Alabama,1,65458,196374,y
Alabama,2,103092,180591,n
Alabama,3,98141,175306,n
Alabama,4,69706,199071,n
Alabama,5,101772,189185,n
Alabama,6,88267,219262,n
Alabama,7,232520,73835,n
Alaska,0,82927,185296,n
Arizona,1,122774,113594,n
Arizona,2,147338,144884,n
Arizona,3,98468,62663,n
Arizona,4,69154,162907,n
Arizona,5,89589,183470,n
Arizona,6,97666,179706,n
Arizona,7,104489,34830,y
Arizona,8,95635,172809,n
Arizona,9,121881,111630,n
Arkansas,1,96601,138800,n
Arkansas,2,113156,158175,n
Arkansas,3,62156,186467,y
Arkansas,4,95013,154149,n
California,1,125386,168827,n
California,2,226216,91310,n
California,3,126882,107086,n
California,4,125885,197803,n
California,5,202872,69545,n
California,6,160667,53406,n
California,7,141241,132050,n
California,8,59881,179644,y
California,9,118373,94704,n
California,10,98934,110265,n
California,11,200743,87136,n
California,12,253709,44478,n
California,13,250436,83479,y
California,14,203828,54455,n
California,15,231034,77011,n
California,16,84649,62801,n
California,17,159392,57336,n
California,18,212831,89103,n
California,19,162300,59313,n
California,20,172996,60566,n
California,21,49119,67164,n
California,22,81555,132386,n
California,23,52720.33333,158161,y
California,24,156749,127746,n
California,25,106982,129593,n
California,26,139072,124863,n
California,27,154191,86817,n
California,28,188703,58008,n
California,29,111287,37095.66667,y
California,30,247851,82617,y
California,31,53739.66667,161219,y
California,32,124903,65208,n
California,33,171860,57286.66667,y
California,34,120367,20223,n
California,35,142680,142645,y
California,36,110189,97953,n
California,37,207039,32541,n
California,38,145280,69807,n
California,39,106360,145607,n
California,40,125553,41851,y
California,41,103578,72074,n
California,42,84702,130245,n
California,43,200894,66964.66667,y
California,44,165898,55299.33333,y
California,45,121814,171417,n
California,46,95694,54121,n
California,47,130093,99919,n
California,48,113358,177144,n
California,49,114893,159725,n
California,50,83455,174838,n
California,51,113934,45464,n
California,52,151451,144459,n
California,53,164825,103482,n
Colorado,1,237579,93217,n
Colorado,2,234758,162639,n
Colorado,3,142920,185291,n
Colorado,4,125800,200006,n
Colorado,5,66546.33333,199639,n
Colorado,6,156937,163938,n
Colorado,7,182460,139066,n
Connecticut,1,192840,82321,n
Connecticut,2,189444,88103,n
Connecticut,3,197163,73726,n
Connecticut,4,167320,117503,n
Connecticut,5,137631,128927,n
Delaware,0,249933,129757,n
Florida,5,190472,70700,n
Florida,1,92961,238440,n
Florida,2,157634,175856,n
Florida,3,102468,204331,n
Florida,4,79996,239988,y
Florida,6,146489,195962,n
Florida,7,130479,185518,n
Florida,8,130870,205432,n
Florida,9,164891,98856,n
Florida,10,153574,164649,n
Florida,11,120303,218360,n
Florida,12,108770,209604,n
Florida,13,139742,189605,n
Florida,14,197121,83480,n
Florida,15,,0,y
Florida,16,161929,187147,n
Florida,17,116766,165488,n
Florida,18,166257,164353,n
Florida,19,109746,189833,n
Florida,20,214727,71575.66667,y
Florida,21,221263,73754.33333,y
Florida,22,171021,142050,n
Florida,23,174205,98096,n
Florida,24,0,,y
Florida,25,50488.66667,151466,n
Florida,26,135694,108820,n
Florida,27,85020,138488,n
Georgia,1,92399,157181,n
Georgia,2,162751,92410,n
Georgia,3,77460,232380,n
Georgia,4,208861,75041,n
Georgia,5,234330,43335,n
Georgia,6,104365,189669,n
Georgia,7,95377,156689,n
Georgia,8,65929.66667,197789,y
Georgia,9,60052,192101,n
Georgia,10,70355,211065,y
Georgia,11,90353,196968,n
Georgia,12,139148,119973,n
Georgia,13,201988,79550,n
Georgia,14,59245,159947,n
Hawaii,1,116505,96824,n
Hawaii,2,168503,40707,n
Idaho,1,97450,199402,n
Idaho,2,110847,207412,n
Illinois,1,236854,83989,n
Illinois,2,188303,69115,n
Illinois,3,168738,77653,n
Illinois,4,133226,27279,n
Illinois,5,177729,77289,n
Illinois,6,132991,193138,n
Illinois,7,242439,31466,n
Illinois,8,123206,101860,n
Illinois,9,194869,98924,n
Illinois,10,133890,130564,n
Illinois,11,148928,105348,n
Illinois,12,157000,129902,n
Illinois,13,136032,137034,n
Illinois,14,124351,177603,n
Illinois,15,94162,205775,n
Illinois,16,112301,181789,n
Illinois,17,153519,134623,n
Illinois,18,85164,244467,n
Indiana,1,187743,91291,n
Indiana,2,130113,134033,n
Indiana,3,92363,187872,n
Indiana,4,93015,168688,n
Indiana,5,125347,194570,n
Indiana,6,96678,162613,n
Indiana,7,162122,95828,n
Indiana,8,122325,151533,n
Indiana,9,132848,165332,n
Iowa,1,222422,162465,n
Iowa,2,211863,161977,n
Iowa,3,168632,202000,n
Iowa,4,169470,200063,n
Kansas,1,70445.66667,211337,y
Kansas,2,113735,167463,n
Kansas,3,67029,201087,y
Kansas,4,81770,161094,n
Kentucky,1,87199,199956,n
