state,district,lastname,party,votes
AK,0,Cissna,D,82927
AK,0,Young,R,185296
AL,1,Bonner,R,196374
AL,1,NONE,D,65458
AL,2,Ford,D,103092
AL,2,Roby,R,180591
AL,3,Harris,D,98141
AL,3,Rogers,R,175306
AL,4,Boman,D,69706
AL,4,Aderholt,R,199071
AL,5,Holley,D,101772
AL,5,Brooks,R,189185
AL,6,Bailey,D,88267
AL,6,Bachus,R,219262
AL,7,Sewell,D,232520
AL,7,Chamberlain,R,73835
AR,1,Ellington,D,96601
AR,1,Crawford,R,138800
AR,2,Rule,D,113156
AR,2,Griffin,R,158175
AR,3,Womack,R,186467
AR,3,NONE,D,62156
AR,4,Jeffress,D,95013
AR,4,Cotton,R,154149
AZ,1,Kirkpatrick,D,122774
AZ,1,Paton,R,113594
AZ,2,Barber,D,147338
AZ,2,McSally,R,144884
AZ,3,Grijalva,D,98468
AZ,3,Saucedo Mercer,R,62663
AZ,4,Robinson,D,69154
AZ,4,Gosar,R,162907
AZ,5,Morgan,D,89589
AZ,5,Salmon,R,183470
AZ,6,Jette,D,97666
AZ,6,Schweikert,R,179706
AZ,7,Pastor,D,104489
AZ,7,NONE,R,34829
AZ,8,Scharer,D,95635
AZ,8,Franks,R,172809
AZ,9,Sinema,D,121881
AZ,9,Parker,R,111630
CA,1,Reed,D,125386
CA,1,La Malfa,R,168827
CA,2,Huffman,D,226216
CA,2,Roberts,R,91310
CA,3,Garamendi,D,126882
CA,3,Vann,R,107086
CA,4,Uppal,D,125885
CA,4,McClintock,R,197803
CA,5,Thompson,D,202872
CA,5,Loftin,R,69545
CA,6,Matsui,D,160667
CA,6,McRay,R,53406
CA,7,Bera,D,141241
CA,7,Lungren,R,132050
CA,8,Cook,R,103093
CA,8,Imus,R,76551
CA,9,McNerney,D,118373
CA,9,Gill,R,94704
CA,10,Hernandez,D,98934
CA,10,Denham,R,110265
CA,11,Miller,D,200743
CA,11,Fuller,R,87136
CA,12,Pelosi,D,253709
CA,12,Dennis,R,44478
CA,13,Lee,D,250436
CA,13,NONE,R,83478
CA,14,Speier,D,203828
CA,14,Bacigalupi,R,54455
CA,15,Swalwell,D,120388
CA,15,Stark,D,110646
CA,16,Costa,D,84649
CA,16,Whelan,R,62801
CA,17,Honda,D,159392
CA,17,Li,R,57336
CA,18,Eshoo,D,212831
CA,18,Chapman,R,89103
CA,19,Lofgren,D,162300
CA,19,Murray,R,59313
CA,20,Farr,D,172996
CA,20,Taylor,R,60566
CA,21,Hernandez,D,49119
CA,21,Valadao,R,67164
CA,22,Lee,D,81555
CA,22,Nunes,R,132386
